id,text,political,racial/ethnic,religious,gender/sexual,other,text_en
tur_18e24a1a3a2f7c83069bb2bd3001573e,"@USER Bencede Er***'ı savunmaniza saygı duyarım,ama suriyeliyi savunmaniza asla. Çocuğumun geleceğini mahveden bir ırkı kim savunursa kızarım,size özel değil yani.",1,1,0,0,0,"@USER I respect you for defending Private, but never defending Suriyeli, so whoever defends a race that destroys the future of my child, it's not personal to you."
tur_9376309b33a414fe328889e818d176d5,Hakkari’ye havalimanı yapılırken roketler atıp havalimanı yapımını durdurmaya çalışan HDPKK’yı sandıkta oy kullanırken unutma Kürt kardeşim! #KalkınmaDüşmanıHDPKK,1,1,0,0,0,"When the airport is being built, don't forget the HDPKK (HDP) who launched rockets and tried to stop the construction of the airport while voting in the polls."
tur_eb6044bb7f46f10cf2e6dc9e9560a2c2,"16 Nisan referandumunda bize ilçe seçim kurulu,sandık kurulu mührü olmayan oy pusulaları GEÇERSİZDİR diye eğitim veren, #Hayır lar %60 larda olunca mühürsüz oyları geçerli sayan #YSK ;yine #24Haziran da mühürsüz oylar geçersiz diyor.Hileler olursa YSKyı HUKUKla yıkarız sadi güven",1,0,0,0,0,"In the April 16th referendum, the district election board says that unsealed votes are invalid when the ballots are valid in the 60 percent 'no', and if there are thefts, we destroy the SEC with HUK."
tur_ac900803714e7370b19a1a8d7bda5c96,"@USER Hayko taa oralardan yapıcan illaki gavurluk.ulan dümbük Almanya'daki soğan, patates fiyatları ile ilgilensene.sanırsın kartaldaki perşembe pazarından alıyor meyve sebzeyi.",0,0,0,0,0,@USER Hayko all the way there's a need for infidelism. Why don't you take care of the price of onions and potatoes in Germany? You think the eagle buys the fruit from the Thursday market.
tur_ca1cfb732b86cf643ef14b65df2937b5,Serdar Kılıç'ın müridi olmak istiyorum <nl>Doğa beni çağırıyor,0,0,0,0,0,I want to be a follower of Serdar Sword <nl> Nature calls me
tur_93d067f7b097b8b17f2bb65a128332e7,Çok net eğer ki olur da bu seçimi alamayacakları bu kadar bariz iken bir terslik yaşanır ise bu adamların büyük hileler ve hırsızlıklar için pazar gününe kadar uğraşmış olduklarından emin olabilirsiniz!,1,0,0,0,0,"If something goes wrong when it's so obvious that they won't be able to make this election, you can be sure that these men have worked until Sunday for the big scams and thefts!"
tur_a43e4dd956ec89068e6655747fb5cc9f,"Dünyayı İzmirliler yönetsin, çok net tüyler diken diken hâlâ. Kudurun ya çok keyifli 🎈",0,0,0,0,0,"Let the Izmirians rule the world, and the hairs are still thorny."
tur_d8975a2fe760f1ea3fd83f8a68d87d15,Chp’nin hayır dediği yaptırmam dediği marmaray’la 3. köprü’yle metroyla chp mitingine giden sığırcıklar,1,0,0,0,0,"The starlings who went to the chp rally on the 3rd bridge with the marmaray, which the chp had said no to do."
tur_0c9e530be4b52f658d5efa17290f8e78,"@USER @USER kesinlikle katılıyorum. bizim vicdanımız rahat, onlar bu vebalin cezasını bir gün elbet çekecek!",0,0,0,0,0,"@USER @USER I certainly agree. Our conscience is clear, and they will suffer the punishment of this plague one day!"
tur_e76185aa95ee598901a9e022e886cc28,"@USER Çözüm süreci ayağına tünellere,hendeklere göz yumup ordan gelen silahlarla mehmetçiklerimizin şehit olmasına göz yuman iktidarmı söylüyor bunları. Hainlik söylemde değil eylemdedir. Haddinizi bilin..oslo yu dolmabahçeyi haburu megriyi söylemiyorum bile..!",1,1,0,0,0,"@USER Resolve process says that I have the power to allow the tunnels, the pits, to be martyred by weapons from there, not by treason, but in action."
tur_b9d739141b5f66c801c250b32688191a,Bu ülkenin sahibi milyonlar evinde kahrolurken onbinlerce Suriyeli sokaklarda sevinç gösterisi yapıyor. Çocuklarımın geleceğini çalıp ülkeyi Ortadoğu selefilerinin ayaklarının altına serenleri hiçbir zaman affetmeyeceğim.,1,1,0,0,0,"The owners of this country are in their homes, and tens of thousands of Syrians show their joy in the streets, and I will never forgive those who steal the future of my children and lay the country at the feet of the Middle East predecessors."
tur_2d4e386b66eda92cf947e2c6687ac0b6,"""Olmaz denileni olduralım. Sen sev beni, ben zaten bizi bırakmam.""",0,0,0,0,0,"""Let's kill what's said no, you love me, I won't leave us anyway."""
tur_3f3a19e7ab6d6c60d75a836d01df0883,Allahım kendimi çok kötü hissediyorum djfjfjjfjfjgjjfjfnfn hiç bir bilgim olmadan saygıdeğer bünyenizi linçlemeye kalktığım için affediniz 💖 @USER,0,0,0,0,0,"God, I feel terrible. Forgive me for trying to lynch your respectable body without any knowledge."
tur_49f11e908fcdf029c665a69b19fc7191,Onlar 3 ü Lüt kavminden beter başkada söyleyecek bişiy yok,1,0,1,1,0,There's nothing to say but three of them are worse than the people of Lut.
tur_03bcbe7f17ba1b34cc90a1d1a176aba7,"“Alevi değilsin ki, sana ne oluyor?” dedi. ""İnsan değilsin ki, sana nasıl anlatayım...” dedim. -Aziz Nesin #unutMADIMAKlımda",1,1,1,0,0,"He said, ""You're not human, how should I explain it to you?"
tur_c7759a9d8bb837d7d9ebaee929acff0b,@USER @USER Bunlarin geninde kaninda kumpas iftira yalan dun tuccarligi israil in BOP u icin yapamiyacaklari yoktur feto hocaefendilerinden mukemmel öğrenmişler bence sen iyisiki hic muhatab olama sadece arada bir HOŞT HOŞT de geç HOŞT demezsen isirirlar nede olsa kuduzlar,1,0,1,0,0,There's nothing they can't do for Israel in BOP.
tur_c9d5067a311dd627da5caa35711e38c4,"@USER @USER ama hep ahmak dinci liderler vardı. menderes, özal, erbakan. chp yapılan pislikleri temizlemekle meşguldü hep. ona darbe bile denemez. bir de ekonomiyi batıran ahmak dinci liderlere müdahale ediyordu",1,0,1,0,0,"@USER @USER but there were always dumb religious leaders. Menderes, autonomous, erbakan. chp was always busy cleaning up the mess that had been made. He didn't even call it a coup. He was interfering with religious leaders who screwed up the economy."
tur_5baebfeae8930b047722616e08b2ca9c,@USER Ne kadar vatana millete ihanet eden varsa partiye doldurdun eski ana muhalefetin bir çizgisi vardı sayın Ki***,1,0,0,0,0,@USER There's a line of old major opposition that you've filled the party with all the people who have betrayed the nation.
tur_3f665b0e224bba6b75babb8eab4aab0d,Devlet Tiyatroları adı altında Vatana düşman militan yetiştiren Yaratıklar buraya kadar 👊🏻,1,1,0,0,0,"So far, the creatures who raised the enemy of the country under the name of the State Theatres."
tur_851f7f341caaebdeeb2795267f156dc5,@USER tanrıya tek bir dua ettim düşmanlarımı komik duruma düşür o da kabul etti,0,0,0,0,0,@USER I prayed to God to make my enemies look ridiculous and he accepted
tur_4409a9244fb0d6ee1a231cd78beef765,Bedelli hakkında klasik laflar etmeyeceğim. Çünkü zaman değişti. 1 tane nükleer füzenin caydırıcılığı 5.000.000 askerinkinden fazla. Zorla askerlik yapacaklarına para getirsinler daha iyi. | #BedellideYas25Bedel15 #Ki***NeSöyledi 2 Yunan Yusuf Yazıcı AK Parti'den |,0,0,0,0,0,"I'm not going to use classical words about Bedelli because times have changed. The deterrent of one nuclear missile is more than 5,000,000 soldiers. It's better if they bring money for their forced military service. #Bedellide Yas25Bedel15 #Ki*"
tur_e4f188509e41e48bffc25fa4b85f567a,Herşeyin en kötüsünü hak ettiğini gösteren bir insan kadar küçülen bir canlı daha yok.,0,0,0,0,0,There's not another creature that's as small as a human being who's entitled to the worst of it all.
tur_1687701fab0fd94a0c51ac61ffd84cf2,1 ay maaş almayan adam gidip geldikten sonra hangi parayla kira ödeyecek #Bedellide25GunKaldırılsın,0,0,0,0,0,"When the man who doesn't get paid for a month comes back, he'll pay rent with what money?"
tur_dbb86f5820ca8fe5f02d02f3ad473eff,"@USER Afrikalıların tamda beyazlara karşı büyük isyankar başlattığında hak, özgürlük, demokrasi ve siyasi mücadele gibi onların yemlerini kendi ırkına atan bu adamdan mi bahsediyorsun ?.Öldükten sonra milyonlarca dolar para çıkan hesaplarından bu adamdan mi bahsediyorsun ?",0,0,0,0,0,"You're talking about this guy who's been feeding his race like rights, freedom, democracy, and political struggles when the Africans started a big rebellion against white people? You're talking about this guy who's got millions of dollars coming out after he's dead?"
tur_36d7bc016ae75c38be8686c91b53fbca,#hdp li #terörist bir şerefsiz işte. Bunların alayı böyle. Ne istedin el kadar kızdan ?,1,1,0,0,0,What do you want from a girl?
tur_f314ee8b95373a0d88f9cd2197f9eac5,Ilçe Başkanımız Ömer Erdal Çelik Ve Yönetim Kurulu Üyelerimiz ile Birlikte Şehit Aileleri ve Gazileri Dernek Başkanı Bestami Antepli’nin Dayısı Ali YILDIRIM Taziye Ziyaretinde Bulunduk. Yıldırım ailesine başsağlığı ve sabırlar diliyorum. Allah rahmet eylesin. Mekanı Cennet Olsun.,0,0,0,0,0,"Omer Erdal Steel and the Board of Directors with our members, we have paid a visit to the family of Martyrs and Veterans Association President Bestami Antalya's uncle Ali YIDIRIM Responsibility. I wish my condolences and patience to the family of Yıldırım. May God have mercy on you."
tur_00d07f740ba21528adbac22545c6d8c6,"Bunu bir İMAM yapsaydı, ilk önce içimizdeki batı hayranı ezikller İSLAM a etmedik hakaret bırakmazlardı. Moldova'da bir aile Rahatsız olan çocuğunu Kilise'nin rahibine götürüyor. Rahip bunun içine şeytan kaçmış diyerek çocuğu EŞŞEK yapıp, sırtına biniyor.",1,0,1,0,0,"If an IMAM had done this first, the Western fans of the West would not have insulted the ISLAM without insults. A family in Moldova is taking their disturbed child to the priest of the Church. The priest says the devil has escaped into it and takes the child on his back."
tur_a925522bef9d34e43ad5b57e2dfd4152,400.000 kişi. Askere giderse devlete 1.000.000 TL zararı olacak zararı kim karşılayacak.Borsa tavan yapmış 😭 #28GunAskerlikKülfet,0,0,0,0,0,"400,000 people. If he goes to the army, who's going to pay $1,000,000 for the damage to the state. Borsa has gone through the roof."
tur_41dd0f9870190b1af22265a5d0ce0cbc,"Atatürk’e hakaret eden, kız müslümanların yoğun çabasıyla tutuklandı. O kızı bahane edip Allah’a, hz peygamber’e, fatih’e, abdulhamid’e, erdoğan’a hakaret edenler dışarıda geziyorlar ama müslümanlar için bu bir sorun değil; çünkü laikler bundan rahatsız olmuyorlar",1,0,1,0,0,"She was arrested because of the intense efforts of Muslims who insulted Ataturk. Those who defamed God, the prophet, the conqueror, the abdulhamid, the Erdoğan are out there, but it's not a problem for Muslims, because secularists don't mind."
tur_f25d50f0d2cf1afcdf5771102dd30502,#Yunanistan Geçmiş olsun #Greece #Prayfor #Greece 🇹🇷🇬🇷,0,0,0,0,0,"#Greece, get well soon #Graece #Prayfor #Greece"
tur_e80c4f8fa18515a8fde902c2a47f042c,@USER Boş konuşuyorsunuz icraat yok sizde,0,0,0,0,0,@USER You're talking nonsense You don't have action
tur_19cc2c94d266b54f74ec09470969633d,1.Yardımcı hizmetler sınıfı derhal kaldırılmalıdır #YHSninSesiDevletBahçeli Bu sınıf devletimize Yakışmamaktadır #YHSninSesiDevletBahçeli,1,1,0,0,0,1st Aid Service Class must be removed immediately #YHSINS State of State It does not suit our class state #YHSınSesi Stateyard
tur_d081b316c67d0351461ae0f906bdafa2,@USER Bu aşağlıklar neden herseferinde yalakalık için ahlak dersi vermeye kalkıyor ki atın çöpe gitsin boş konuşuyorlar.,1,0,1,1,0,@USER Why do these scoundrels always try to teach morality to suck up to each other so that your horse can go to the garbage can and talk nonsense?
tur_90c1d52a87bc698571efec5456f66ecf,#hastaolmadanreçeteyazmaksuç listede ama #Yusufdede listede değil. Kendinizi haklı çıkarmakta hep mahirsiniz zaten! Vicdan yahu azıcık vicdan!,1,0,0,0,0,"You're not on the list, you're not on the list, you're always on the list, you're always on the list, you're always on the list, you're always on the list, you're always on the list, you've got a conscience, you've got a conscience, you've got a conscience, you've got a conscience, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got one, you've got two."
tur_dcdc0c3b8243604ad87f4c5df41b2a50,"@USER @USER Ne yazık ki günümüzde ""bizden"" olana ses çılarmıyorken ""ötekilere"" demediğini bırakmıyor.. Ama siyasal İslamcılar açık ara önde bu işte..",1,0,1,0,0,"It's a pity he doesn't say ""others"" when he's not making a sound to what's ""us"" today, but political Islamists are way ahead of us."
tur_1e11ad252ffbb3b1a9595d490eb5011e,Sjdjdjsjs Berdanmış adı pardon Kürt diyince gaza geldim:d,0,1,0,0,0,"When Sjdjdjsjsjs Berdanmiş said his name was sorry, I got excited:"
tur_c972c76364f93f2cb278ea92799986ec,"Kadın ve çocuğa nefret söylemi, kadına şiddet ve çocuk istismarına Dur! demek için 14 kişilik öğrenci ekibi olarak yola çıktık. Sizlerin desteği ile biz kocaman bir aile olduk. Facebook tarafından ""Dünya'nın en...",0,0,0,0,0,"We set out as a team of 14 students to tell women and children to say, ""Stop using violence and child abuse."" With your support, we became a huge family."
tur_54475d271489b1150ab3127aec824a83,@USER Ülkemiz de çalışan göçmenler yani Suriyeli Afganistanlı ve Pakistanlılar ülkemizde çalışıp kaçak yollarla maaşlarını dövize çevirip kendi ülkelerine gönderiyor aileleri orada çıktı çok gelen Yok ne olacaktı başka,1,1,0,0,0,"@USER Our country's migrants - Syrian Afghans and Pakistanis - work in our country, exchange their wages illegally and send their families to their country."
tur_bec0f1a169f3b15dd778b4d061b8fd4c,"Irak'ta on binlerce Müslüman kadına tecavüz eden Amerikan askerleri ülkelerine sağ salim dönsünler diye dua eden ""Ben"" olduğum için, yaptırım krizine dair söz söyleme hakkım yok..",1,0,0,0,0,"Since I'm the ""I"" praying that American soldiers who raped tens of thousands of Muslim women in Iraq will return safely to their country, I have no say in the crisis of sanctions."
tur_5fe088e7298ba6f3068e23abdff87e2e,Döviz yükselmesinden sonra Türk halkı Er***a nefret ederken Almanya da yaşayanlar Er*** tapıyor. 😂😂,1,0,0,0,0,"After the exchange, the Turkish people hated Er**** and the people who live in Germany worship Er**."
tur_2ba6ce181638c07434115372659af7fb,"@USER TED med,bu işleri bırak,Türk ün nefesi ensende,bırak imdi muhabbeti,tamam Dünya dönüyo ama,Türk var,Türk edebiyen var olcak,Türk dünya döndüğü zamanda var kalacak,şüphen varsa,Vatikan’a danış😃🤪🇹🇷🤘🇹🇷",1,1,1,0,0,"== sync, corrected by elderman == @elder_man @elder_man"
tur_6c3421509c6d97b44d4bd39956298254,@USER @USER Muhterem çok güzel söylüyorsun !İranda İslamiyet yok ;Şiia var ve onun Şeriat Polisi var !İngilizce de Moral Polisi diyorlar herkezde inanıyor ?,0,0,0,0,0,"You sing so well, Reverend, there's no Islam in Iran, and he's got Sharia Police, and he's called the Moral Police."
tur_6c7a6e0239658e224ef7fbfc4d6a50ea,Kartal şubenizin nakliye-montaj birimi kadar rezil bir hizmet görmedim bugüne kadar. 3 gün içerisinde montaj yapılır denilen ürün 8 gündür bekliyor. 2 gün evde boşuna bekledim. Ve şu an 1 saattir telefona bakan yok. Aksiyon almanız ricasıyla @USER,0,0,0,0,0,"I've never seen a service as vile as your Eagle Branch's transport-montage unit. The product, which is said to be edited in three days, has been waiting for eight days. I've waited two days at home for nothing. And now there's no one answering the phone for an hour."
tur_3cf0992069145b2759093406b212e664,"""... Bu bağlamda İslam coğrafyasının cehalet, fakirlik, işsizlik sorunları ile küresel anlamdaki enerji ihtiyacı, aşırı nüfus artışı, iklim değişimleri, siber güvenlik, yapay zeka tehditleri eğitim açığı ve israf konularında kalıcı ve sürdürülebilir cevaplar üretmeliyiz.""",0,0,0,0,0,"""In this context, we must produce permanent and sustainable answers in terms of ignorance, poverty, unemployment problems, global need for energy, overpopulation, climate change, cyber security, artificial intelligence threats, education deficits and waste."""
tur_ac24e022c45b784d5fb97ed8dbcfb878,Rakı fiyatları normale dönsün diye salavat zinciri yapıyom. Katılan var mı?,0,0,0,0,0,I'm building a chain of salavats to get the raki prices back to normal.
tur_982e3909502bb959cbf99a0f00c2481a,Dolar.ın yeri dolar.da vatanın yeri zor dolar beyler uyanın uyan yeter artık amrikan uşaklığı vereceğiz dersini sarı ciyana dolar babaları sıra sizde 15 temmuz da fakir fukara ödedi bedelini şimdi sıra sizde koyun elinizi taşın altına,1,1,0,0,0,"Dollars. It's a tough place to get home. It's enough to wake up, gentlemen. We're going to be serving as an American butler. We're going to pay for it in yellow. It's your father's turn to pay for the poor on July 15th. Now it's time for you to put your hand under the stone."
tur_93c95701087ae863bd569165f7b61476,@USER Fikirlerinizdeki karanlığı aydınlatabilmek için tüm ışığımızı kullanmaya çalışıyoruz 😉,1,0,0,0,0,@USER We're trying to use all of our light to illuminate the darkness in your ideas
tur_bb9dc898d648506c1a796daa08f0aa5e,@USER @USER Ve akpliler hemen inanır ve bi anda Alman sempatizanı bireyler yetiştirir sOnRa bir sıkıntı olunca suçu başkasına atar (chp umrumda değil sırf sınıflandırdığın için gördüğümü söyledim),1,1,0,0,0,"== sync, corrected by elderman == @elder_man"
tur_c464db14a0c26d1c8fe7b67f9b030c7f,biz alkolik değiliz derdimizzz dağdan büyük be dayı,0,0,0,0,0,"We're not alcoholics. It's bigger than a mountain, Uncle."
tur_9d62f60bd9122f26bfa5204f50cfb037,@USER @USER Yorumlara bakinca Amerikalıların ne kadar cahil bir toplum olduğu çok net görünüyor.,0,0,0,0,0,"By looking at the comments, it seems very clear what an ignorant society the Americans are."
tur_2b938725cc512ff67fd1406328bdb818,"@USER @USER Benim ödediğim vergiyle maaş alan polis kardeşim , yediğin her lokma sana haram zıkkım olsun ...",1,0,0,0,1,"My brother, who's paid the tax I pay, I won't give you anything to eat..."
